date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper,cases_for_analysis,previous_cases,case_growth,rolling_3m,risk_score,risk_level
2023-12-01,Dec 2023,AMR,Region of the Americas,Dominica,DMA,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008765366447179068,0.0,0.008765366447179068,419.0,,419.0,419.0,3,MEDIUM
2024-08-01,Aug 2024,EMR,Eastern Mediterranean Region,Saudi Arabia,SAU,323.0,93.0,,0.0,0.0,,0.0,0.01135571102819322,,,323.0,320.0,0.009375,500.0,1,LOW
2025-04-01,Apr 2025,EUR,European Region,Autonomous Region of Madeira,MDR,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,LOW
2025-06-01,Jun 2025,WPR,Western Pacific Region,Viet Nam,VNM,4860.0,,,0.0,0.0,,0.0,0.0007587407048514538,,,4860.0,4792.0,0.014190317195325543,4102.0,3,MEDIUM
2025-11-01,Nov 2025,EUR,European Region,Mayotte,MYT,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2025-12-01,Dec 2025,WPR,Western Pacific Region,Guam,GUM,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-02-01,Feb 2026,WPR,Western Pacific Region,Solomon Islands,SLB,24.0,,,,,,,,,,24.0,20.0,0.2,20.0,1,LOW
2026-02-01,Feb 2026,WPR,Western Pacific Region,Tokelau,TKL,4.0,,,,,,,,,,4.0,0.0,4.0,1.3333333333333333,3,MEDIUM
2026-03-01,Mar 2026,WPR,Western Pacific Region,Fiji,FJI,284.0,,,,,,,,,,284.0,1039.0,-0.726660250240616,709.3333333333334,1,LOW
2026-03-01,Mar 2026,WPR,Western Pacific Region,Nauru,NRU,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-03-01,Mar 2026,WPR,Western Pacific Region,Niue,NIU,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-03-01,Mar 2026,WPR,Western Pacific Region,Tuvalu,TUV,0.0,,,,,,,,,,0.0,0.0,0.0,2.0,0,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Northern Mariana Islands (Commonwealth of the),MNP,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Cook Islands,COK,8.0,,,0.0,0.0,,0.0,0.3694166475528192,,,8.0,159.0,-0.949685534591195,196.66666666666666,0,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Wallis and Futuna,WLF,2.0,,,0.0,0.0,,0.0,0.841886116991581,,,2.0,0.0,2.0,0.6666666666666666,3,MEDIUM
2026-04-01,Apr 2026,WPR,Western Pacific Region,Pitcairn Islands,PCN,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Palau,PLW,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Samoa,WSM,132.0,,,0.0,0.0,,0.0,0.02755917772345751,,,132.0,265.0,-0.5018867924528302,213.66666666666666,1,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Vanuatu,VUT,1.0,,,,,,,,,,1.0,0.0,1.0,0.3333333333333333,3,MEDIUM
2026-04-01,Apr 2026,WPR,Western Pacific Region,Micronesia (Federated States of),FSM,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Kiribati,KIR,0.0,,,,,,,,,,0.0,0.0,0.0,1.3333333333333333,0,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,Marshall Islands,MHL,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0,LOW
2026-04-01,Apr 2026,SEAR,South-East Asia Region,Maldives,MDV,641.0,601.0,3.0,2.0,0.0031201248049922,0.0046801872074883,0.0003780851952090434,0.01122512309298429,0.0009662090195587473,0.01361608345145937,641.0,596.0,0.07550335570469799,555.0,2,LOW
2026-04-01,Apr 2026,WPR,Western Pacific Region,French Polynesia,PYF,9.0,,0.0,0.0,0.0,0.0,0.0,0.3362671168799429,0.0,0.3362671168799429,9.0,2.0,3.5,6.0,4,MEDIUM
2026-05-01,May 2026,SEAR,South-East Asia Region,Sri Lanka,LKA,8602.0,,,5.0,0.0005812601720530109,,0.0001887596731168735,0.001355941637878376,,,8602.0,5662.0,0.5192511480042388,6760.0,5,MEDIUM
2026-05-01,May 2026,EMR,Eastern Mediterranean Region,Sudan,SDN,2738.0,851.0,6.0,0.0,0.0,0.002191380569758948,0.0,0.001346382605888313,0.0008046093460723574,0.004763566217095634,2738.0,2006.0,0.36490528414755735,3792.0,2,LOW
2026-05-01,May 2026,WPR,Western Pacific Region,Tonga,TON,7.0,,,0.0,0.0,,0.0,0.4096163972250034,,,7.0,50.0,-0.86,19.0,0,LOW
2026-05-01,May 2026,WPR,Western Pacific Region,New Caledonia,NCL,105.0,,0.0,0.0,0.0,0.0,0.0,0.03452221412650558,0.0,0.03452221412650558,105.0,835.0,-0.874251497005988,416.3333333333333,1,LOW
2026-06-01,Jun 2026,AFR,African Region,Central African Republic,CAF,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,AMR,Region of the Americas,Costa Rica,CRI,446.0,271.0,0.0,0.0,0.0,0.0,0.0,0.008236919304941526,0.0,0.008236919304941526,446.0,299.0,0.4916387959866221,310.3333333333333,2,LOW
2026-06-01,Jun 2026,EUR,European Region,Slovenia,SVN,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,AFR,African Region,Mozambique,MOZ,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,AMR,Region of the Americas,Antigua and Barbuda,ATG,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,AFR,African Region,Zambia,ZMB,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,AMR,Region of the Americas,United States of America,USA,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.1157033082220278,0.0,0.1157033082220278,30.0,15.0,1.0,22.666666666666668,3,MEDIUM
2026-06-01,Jun 2026,AFR,African Region,Democratic Republic of the Congo,COD,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,EUR,European Region,Armenia,ARM,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,EMR,Eastern Mediterranean Region,Iran (Islamic Republic of),IRN,2647.0,409.0,0.0,0.0,0.0,0.0,0.0,0.001392637031520993,0.0,0.001392637031520993,2647.0,1549.0,0.7088444157520981,1555.3333333333333,4,MEDIUM
2026-06-01,Jun 2026,AFR,African Region,Uganda,UGA,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,AFR,African Region,United Republic of Tanzania,TZA,128.0,0.0,,0.0,0.0,,0.0,0.02840805344354391,,,128.0,9.0,13.222222222222221,46.333333333333336,5,MEDIUM
2026-06-01,Jun 2026,EUR,European Region,Slovakia,SVK,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0,LOW
2026-06-01,Jun 2026,AMR,Region of the Americas,Guyana,GUY,0.0,1254.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,3811.0,-1.0,3872.6666666666665,0,LOW
